GUID,Welt (codiert),Welt (uncodiert),Europa Smaragd,Europa (codiert),Europa (uncodiert),Schweiz (codiert),Schweiz (uncodiert),Schweiz Kriterien,Bemerkungen
B218BCE2-BDED-48B5-9C45-920A31C9D018,,,,,,DD,ungenügende Datengrundlage,,
B26861AD-4688-4021-9822-5DFEDF4773B7,,,,,,NT,potentiell gefährdet,,abhängig vom Moorschutz
B2E72F38-7A9D-425B-A536-2392A1ACFCA9,,,,,,NE,nicht evaluiert,,
B3F6BB1E-67A0-434B-AB3C-AA04F22010D3,EN,"stark gefährdet. Kriterien: B1,2c",,E,endangered,RE,in der Schweiz ausgestorben,,"einziger Fund 1979, mehrfache Nachsuche erfolglos"
B4525749-20B3-40A4-AF8D-D3CAD56B76D4,,,,V,vulnerable,NE,nicht evaluiert,,
B477F2CC-1AF7-4C19-8178-77C9B3871DA5,,,,,,VU,verletzlich,D2,
B4DDA96B-43C4-4D7A-8F7D-C84B9CA0DF19,,,,,,LC,nicht gefährdet,,
B4FC77A0-505C-4925-9E4D-9AC2C3B61A99,,,,,,VU,verletzlich,D2,"möglicherweise ausgestorben, letzter Fund um 1900"
B50F56BA-5357-479D-9601-F244C4C1AA65,,,,,,LC,nicht gefährdet,,
B55A96AA-874F-4EDC-860C-F75E224A66B5,,,,,,VU,verletzlich,A2b; D2,
B5636EBF-E0DD-4B60-90B9-EC5F9E958F0E,,,,,,LC,nicht gefährdet,,
B5870B91-C2E3-43DE-A382-DC2E8E5BDC58,,,,,,LC,nicht gefährdet,,
B5986975-6551-42FB-A904-537741C39BDD,,,,,,NE,nicht evaluiert,,
B5C103FC-D5C8-44CA-81B4-D9D580F29CA9,,,,,,LC,nicht gefährdet,,
B5DBBD22-5EEB-4903-B65A-C2F2CD4C00C2,,,,,,NE,nicht evaluiert,,
B5F73F0D-5E93-4F62-808D-F591DC34E3CB,,,,,,DD,ungenügende Datengrundlage,,
B6000C9D-AFFD-4EA4-8A5C-F73CFD74BCBA,,,,,,EN,stark gefährdet,B1ab(iv)+2ab(iv),
B610326C-4AB8-4145-9972-BE2EDEB5B3A4,,,,,,LC,nicht gefährdet,,
B63CFBD1-0218-490E-9128-2A8327E19F40,,,,,,NE,nicht evaluiert,,
B6729116-63F9-4476-909F-FF0CDBE24126,,,,,,VU,verletzlich,D2,
B7044A4B-0BC9-4D27-AD2A-7ABD4618A8EE,VU,verletzlich,,E,endangered,CR,vom Aussterben bedroht,"A2b; B2ab(ii,iv)",weltweit gefährdet
B711AC9D-EF1E-4163-BC26-63C206DE49C8,,,,,,LC,nicht gefährdet,,
B741D16B-DC6C-450D-AB7A-2E88A546EE8A,,,,,,CR,vom Aussterben bedroht,B1ab(iv)+2ab(iv),
B7E10475-F68A-4C2E-9A90-98ABDAC650F6,,,,,,LC,nicht gefährdet,,
B7F623A7-2B01-40E5-B2BD-60FBF9017713,,,,,,VU,verletzlich,D2,
B82813E7-2C65-4BA8-8317-17564FA530AE,,,,,,NT,potentiell gefährdet,D2,
B852FD11-AA4C-4F6D-86EB-FB0CF9B6DF0B,,,,,,LC,nicht gefährdet,,
B868A9B1-7B75-4ADC-AAB0-EA8D2E96B24A,,,,,,LC,nicht gefährdet,,
B87FFECA-C048-44BC-BE00-57552416D942,,,,,,,,,"letzter Fund 1868, Nachsuche aller Populationen erfolglos"
B88518BC-A9E6-4AF4-B8DF-E0FC693E1D4F,,,,,,NT,potentiell gefährdet,D2,
B9821C3F-F5C2-4288-A14A-AA9F2DAE4286,,,,,,VU,verletzlich,D2,letzter Fund 1977
B995E897-F903-4441-BCEC-2A40B7DA40C7,,,,,,LC,nicht gefährdet,,
B9973509-0075-4C41-84BA-F4CF4DDC2C42,,,,,,DD,ungenügende Datengrundlage,,Taxonomie unklar
B9BDF262-D026-40EA-AE97-A4AD96E76B80,,,,,,NE,nicht evaluiert,,
BA0CECB6-F568-44A4-858E-53484F9F7290,,,,,,LC,nicht gefährdet,,
BA11F954-9F19-48CC-8268-9DEDFC00240A,,,,,,LC,nicht gefährdet,,
BA585FA6-C6C0-467A-94A6-9A9CE819C50A,,,,,,LC,nicht gefährdet,,
BA9027C5-E498-4D2C-B234-99B80A96DCE7,,,,,,VU,verletzlich,D2,
BA9471E0-0F54-4AA4-8573-CE866BFAFD55,,,,,,DD,ungenügende Datengrundlage,,
BAC22099-8282-4B11-B3A1-EEBC63A8D282,,,,,,LC,nicht gefährdet,,
BAE3347C-81C8-40C4-9916-8615D2F54825,,,,,,LC,nicht gefährdet,,
BB093121-8A41-4AD0-A30C-7EE42CFA818A,,,,,,LC,nicht gefährdet,,
BB0C6AF9-4134-4CFF-AD1A-5BC0966B7EF3,,,,V,vulnerable,VU,verletzlich,D2,
BB4B9BFB-515A-406D-83FE-26661191FFAF,,,,,,VU,verletzlich,D2,abhängig vom Moorschutz
BB6D533D-3A0E-4D11-BCCB-412AC017D92D,,,,,,EN,stark gefährdet,B1ab(iv)+2ab(iv),
BB73ADC8-64A0-4122-A1DB-CDDEBF10A9E3,,,,E,endangered,VU,verletzlich,D2,"möglicherweise ausgestorben, letzter Fund 1909, Nachsuche aller Populationen erfolglos"
BB79F657-8107-40A7-B10A-40A5B0168A9D,,,,,,VU,verletzlich,D2,
BB85AA06-CDD5-4397-9F09-B4D713FBFC7A,,,,,,VU,verletzlich,D2,
